,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,3,11,24,1,0,32,0,3,2,0,18,11,40,0,2,0,35,85,36,0,1,2,3,4,2
1,4,1,1,0,32,0,1,0,0,0,1,1,0,0,4,0,0,1,9,1,2,0,0,0,1,0
2,12,0,0,0,30,0,0,12,7,0,2,1,0,0,23,4,0,2,5,16,0,0,0,0,5,0
3,9,0,2,1,37,0,1,0,10,0,0,1,1,0,7,0,0,0,9,1,4,1,0,0,2,0
4,45,4,13,49,34,4,9,1,2,0,0,17,11,37,1,17,6,101,67,13,1,2,6,6,4,0
5,3,0,0,1,13,1,0,0,6,0,0,0,0,0,14,1,0,0,0,1,1,0,0,0,0,0
6,2,0,0,0,16,0,0,6,0,0,0,0,0,0,7,0,0,13,0,1,2,0,0,0,4,0
7,34,0,0,0,125,0,0,0,4,0,0,0,0,1,26,0,0,3,0,1,1,0,0,0,0,0
8,0,0,2,0,0,0,0,0,2,0,0,0,1,5,1,0,0,3,3,8,0,0,0,1,0,0
9,0,0,0,0,3,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,8,0,0,1,3,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
11,25,0,0,17,34,0,0,0,11,0,1,7,1,0,9,0,0,0,16,5,1,0,0,0,17,0
12,1537,6,2,1,45,0,0,0,79,1,0,0,3,1,6,5,0,2,7,0,1,0,0,0,0,0
13,11,0,10,97,48,1,9,0,5,0,0,1,0,0,8,0,0,1,27,56,1,0,0,0,10,1
14,2,3,4,2,4,25,4,0,2,0,1,4,6,23,4,18,0,170,14,12,12,1,3,0,0,0
15,21,0,0,0,19,0,0,0,11,0,0,0,0,0,18,2,0,11,7,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,39,2,14,12,58,3,8,0,17,0,7,0,4,4,42,2,0,4,36,15,3,0,0,0,12,0
18,9,0,7,1,51,1,1,2,4,0,1,0,0,0,15,11,0,1,24,24,7,0,0,0,1,0
19,46,0,2,0,64,0,0,57,24,0,1,0,0,0,42,1,0,11,40,3,2,0,1,1,1,0
20,6,0,0,5,6,0,4,0,1,0,0,7,0,0,0,16,0,11,13,2,0,0,0,0,0,0
21,2,1,0,0,37,0,0,0,14,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0
22,20,0,0,0,8,0,0,3,3,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0
24,0,0,0,1,11,0,0,0,2,0,0,1,0,0,2,1,0,0,4,0,0,0,0,0,0,0
25,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,131,38,87,23,43,45,24,61,7521,5,1,23,54,23,130,64,6,31,80,214,17,4,47,0,8,0
